SchoolYear,DistrictNCES,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate
2020-2021,3904359,898929,Bellevue City School District,Public,Bellevue,OH,2072,09/01/2020,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/11/2021
2020-2021,3904941,898930,Clear Fork Valley Local School District,Public,Bellville,OH,1780,08/31/2020,On Premises,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/30/2020
2020-2021,3904601,899201,Union Local School District,Public,Belmont,OH,1580,09/08/2020,Online Only,No,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Unknown,12/30/2020
2020-2021,3904838,898980,West Branch Local School District,Public,Beloit,OH,2269,09/09/2020,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,12/18/2020
2020-2021,3904361,898708,Belpre City School District,Public,Belpre,OH,1140,08/24/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/06/2021
2020-2021,3904360,899145,Berea City School District,Public,Berea,OH,6175,09/09/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,10/30/2020
2020-2021,3904839,899032,Western Reserve Local School District,Public,Berlin Center,OH,698,09/09/2020,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,12/17/2020
2020-2021,3904631,898866,Bethel-Tate Local School District,Public,Bethel,OH,1592,08/24/2020,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Unknown,09/30/2020
2020-2021,3906280,898867,U S Grant Joint Vocational School Dist,Public,Bethel,OH,400,08/24/2020,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/15/2020
2020-2021,3905048,898678,Fort Frye Local School District,Public,Beverly,OH,1040,08/24/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/05/2021
2020-2021,3904638,898868,Blanchester Local School District,Public,Blanchester,OH,1656,09/27/2020,Hybrid,Yes,Yes,No,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/30/2020
2020-2021,3905068,898932,Elmwood Local School District,Public,Bloomdale,OH,1238,08/26/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/07/2021
2020-2021,3905112,899190,Jefferson Cnty Joint Vocnl School Dist,Public,Bloomingdale,OH,335,08/27/2020,On Premises,No,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,No,12/09/2020
2020-2021,3904486,898808,Sycamore Community School District,Public,Blue Ash,OH,5538,09/08/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/19/2020
2020-2021,3904521,898674,Bluffton Exempted Village School Dist,Public,Bluffton,OH,1220,08/31/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/14/2020
2020-2021,3904830,899008,Boardman Local School District,Public,Boardman,OH,4010,09/14/2020,On Premises,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/05/2020
2020-2021,3904976,898819,Botkins Local School District,Public,Botkins,OH,665,08/28/2020,On Premises,Yes,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,11/02/2020
2020-2021,3904363,899270,Bowling Green City School District,Public,Bowling Green,OH,3020,09/08/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,3905072,899218,Otsego Local School District,Public,Bowling Green,OH,1736,08/24/2020,On Premises,Yes,Yes,Pending,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/21/2021
2020-2021,3904522,898820,Bradford Exempted Village School Dist,Public,Bradford,OH,515,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,12/11/2020
2020-2021,3904364,899085,Brecksville-Broadview Heights Schl Dist,Public,Brecksville,OH,3587,09/08/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/20/2020
2020-2021,3905092,899084,Cuyahoga Valley Career Center District,Public,Brecksville,OH,950,08/19/2020,Hybrid,Unknown,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/23/2020
2020-2021,3904523,899191,Bridgeport Exempted Village School Dist,Public,Bridgeport,OH,822,08/31/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/30/2020
2020-2021,3905011,899033,Bristol Local School District,Public,Bristolville,OH,700,08/26/2020,Hybrid,Yes,No,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,01/08/2021
2020-2021,3905012,899034,Brookfield Local School District,Public,Brookfield,OH,1039,09/24/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/05/2021
2020-2021,3904365,899088,Brooklyn City School District,Public,Brooklyn,OH,1270,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for high school students only,Yes,Yes,Unknown,Yes,10/13/2020
2020-2021,3904867,898821,Brookville Local Schools,Public,Brookville,OH,1595,08/19/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/08/2021
2020-2021,3904366,899062,Brunswick City Schools,Public,Brunswick,OH,7567,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,3904367,899258,Bryan City School District,Public,Bryan,OH,2047,08/19/2020,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/12/2021
2020-2021,3904368,898933,Bucyrus City School District,Public,Bucyrus,OH,1430,08/31/2020,On Premises,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/14/2020
2020-2021,3904652,898935,Wynford Local School District,Public,Bucyrus,OH,1133,09/08/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/05/2021
2020-2021,3904716,899146,Berkshire Local School District,Public,Burton,OH,1385,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/15/2020
2020-2021,3904524,899172,Harrison Hills City School District,Public,Cadiz,OH,1535,08/24/2020,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/14/2020
2020-2021,3904525,899203,Caldwell Exempted Village School Dist,Public,Caldwell,OH,865,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/15/2020
2020-2021,3904844,899281,River Valley Local School District,Public,Caledonia,OH,1985,09/01/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/06/2020
2020-2021,3904369,899205,Cambridge City School District,Public,Cambridge,OH,2019,09/08/2020,Hybrid,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,08/12/2020
2020-2021,3904730,899202,Rolling Hills Local School District,Public,Cambridge,OH,1680,09/01/2020,Hybrid,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/11/2021
2020-2021,3904928,898822,Preble Shawnee Local School District,Public,Camden,OH,1542,09/08/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,01/06/2021
2020-2021,3904370,899035,Campbell City School District,Public,Campbell,OH,1146,08/31/2020,Hybrid,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,01/06/2021
2020-2021,3904990,898982,Northwest Local School District,Public,Canal Fulton,OH,1847,08/24/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,01/11/2021
2020-2021,3904694,899315,Canal Winchester Local School District,Public,Canal Winchester,OH,3810,09/02/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/15/2020
2020-2021,3904831,899036,Canfield Local School District,Public,Canfield,OH,2568,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/13/2021
2020-2021,3905124,899037,Mahoning Co Career-Techl Ctr Board of Ed,Public,Canfield,OH,1060,08/24/2020,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,10/02/2020
2020-2021,3904836,898993,South Range Local School District,Public,Canfield,OH,1269,09/09/2020,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/16/2020
