SchoolYear,DistrictNCES,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate
2020-2021,2006420,893905,Gardner Edgerton Unified Schl Dist 231,Public,Gardner,KS,5279,09/08/2020,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,10/07/2020
2020-2021,2006450,893906,Garnett Unified School District 365,Public,Garnett,KS,1018,08/19/2020,On Premises,Yes,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,09/24/2020
2020-2021,2006480,893819,Girard Unified School District 248,Public,Girard,KS,1057,08/18/2020,On Premises,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Pending,Yes,01/05/2021
2020-2021,2006540,893759,Goddard Unified School District 265,Public,Goddard,KS,5633,09/08/2020,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,2006570,893761,Goessel Unified School District 411,Public,Goessel,KS,275,09/02/2020,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/28/2020
2020-2021,2006580,893606,Goodland Unified School District 352,Public,Goodland,KS,997,08/25/2020,Hybrid,Yes,Unknown,Unknown,No,Unknown,Required for middle/high school students only,Unknown,Unknown,Never closed,Yes,10/20/2020
2020-2021,2006630,893607,Wheatland Unified School District 292,Public,Grainfield,KS,105,08/20/2020,On Premises,Yes,Yes,Yes,Yes,Not required,Not required,Pending,Unknown,Never closed,Unknown,11/19/2020
2020-2021,2006660,893658,Great Bend Unified School District 428,Public,Great Bend,KS,2845,08/28/2020,Online Only,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/16/2020
2020-2021,2006720,77751068,Kiowa County Unified School District 422,Public,Greensburg,KS,300,08/27/2020,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,01/26/2021
2020-2021,2006780,893608,Grinnell Unified School District 291,Public,Grinnell,KS,99,08/20/2020,Hybrid,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/09/2020
2020-2021,2000001,893667,Southeast Saline Unified School Dist 306,Public,Gypsum,KS,647,08/27/2020,On Premises,Unknown,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,11/03/2020
2020-2021,2006840,893763,Halstead-Bentley School District 440,Public,Halstead,KS,717,09/03/2020,On Premises,Yes,Unknown,No,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,12/16/2020
2020-2021,2006870,893810,Hamilton Unified School District 390,Public,Hamilton,KS,68,08/25/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/04/2020
2020-2021,2006930,893811,Southern Lyon County USD 252,Public,Hartford,KS,544,08/25/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/29/2020
2020-2021,2006960,893660,Haven Unified School District 312,Public,Haven,KS,806,08/27/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/20/2020
2020-2021,2006990,893731,Haviland Unified School District 474,Public,Haviland,KS,86,08/20/2020,Hybrid,Yes,Unknown,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/08/2020
2020-2021,2007020,893649,Hays Unified School District 489,Public,Hays,KS,2965,08/26/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,2007050,893732,Haysville Unified School District 261,Public,Haysville,KS,5653,09/10/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/02/2020
2020-2021,2007080,893572,Healy Unified School District 468,Public,Healy,KS,98,08/10/2020,On Premises,Yes,No,No,Yes,Required for all staff,Not required,Yes,Yes,Unknown,Yes,11/02/2020
2020-2021,2007110,893668,Herington School District 487,Public,Herington,KS,475,08/26/2020,On Premises,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/18/2020
2020-2021,2007170,893734,Hesston Unified School District 460,Public,Hesston,KS,801,09/02/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,10/19/2020
2020-2021,2000006,893863,Hiawatha Unified School District 415,Public,Hiawatha,KS,918,09/03/2020,On Premises,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,12/28/2020
2020-2021,2000348,893907,Doniphan West Unified School Dist 111,Public,Highland,KS,360,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2007260,893621,Graham County Unified School Dist 281,Public,Hill City,KS,467,08/24/2020,On Premises,Yes,Unknown,Yes,Yes,Pending,Not required,Yes,Unknown,Never closed,Yes,12/18/2020
2020-2021,2007290,893735,Durham-Hillsboro-Lehigh School Dist 410,Public,Hillsboro,KS,576,09/09/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/06/2021
2020-2021,2007320,893661,Hoisington Unified School District 431,Public,Hoisington,KS,774,08/27/2020,Hybrid,Unknown,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,10/20/2020
2020-2021,2007350,893573,Holcomb Unified School District 363,Public,Holcomb,KS,960,09/05/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/04/2021
2020-2021,2007380,893866,Holton Unified School District 336,Public,Holton,KS,1279,08/24/2020,Other,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,01/07/2021
2020-2021,2004830,893867,North Jackson Unified School Dist 335,Public,Holton,KS,410,08/20/2020,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,12/16/2020
2020-2021,2000349,893673,Unified School Dist 112 Central Plains,Public,Holyrood,KS,547,08/27/2020,Unknown,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/30/2020
2020-2021,2007470,893868,South Brown County Unified Sch Dist 430,Public,Horton,KS,580,09/18/2020,Hybrid,Yes,Unknown,No,Yes,Not required,Not required,Yes,Yes,Unknown,Yes,10/30/2020
2020-2021,2007500,893711,West Elk Unified School District 282,Public,Howard,KS,358,08/18/2020,On Premises,Yes,Unknown,Unknown,Yes,Not required,Not required,Yes,Yes,Never closed,No,11/06/2020
2020-2021,2007530,893610,Hoxie Community Unified School Dist 412,Public,Hoxie,KS,423,08/19/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/30/2020
2020-2021,2007560,893562,Hugoton Unified School District 210,Public,Hugoton,KS,1310,08/27/2020,On Premises,Yes,No,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/15/2021
2020-2021,2007590,893821,Humboldt Unified School District 258,Public,Humboldt,KS,608,08/20/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/07/2021
2020-2021,2007620,893650,Hutchinson Unified School District 308,Public,Hutchinson,KS,6507,08/27/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Closed indefinitely,Unknown,12/30/2020
2020-2021,2009990,893681,Nickerson Unified School District 309,Public,Hutchinson,KS,1176,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2007650,893702,Independence Unified School District 446,Public,Independence,KS,2058,08/19/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/04/2020
2020-2021,2007680,893574,Ingalls Unified School District 477,Public,Ingalls,KS,246,08/24/2020,Unknown,Yes,No,No,Yes,Not required,Required for all students,Yes,Yes,Never closed,Unknown,12/23/2020
2020-2021,2007710,893662,Inman Unified School District 448,Public,Inman,KS,444,08/20/2020,Unknown,Yes,Yes,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Closed 6-14 days,Unknown,12/30/2020
2020-2021,2007740,893822,Iola Unified School District 257,Public,Iola,KS,1303,08/24/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,01/07/2021
2020-2021,2007800,893575,Hodgeman County Unified School Dist 227,Public,Jetmore,KS,305,08/27/2020,Hybrid,No,No,No,Yes,Not required,Not required,Yes,Yes,Never closed,Unknown,12/29/2020
2020-2021,2007860,893576,Stanton County Unified Schl District 452,Public,Johnson,KS,439,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2007890,893869,Geary County Unified School District 475,Public,Junction City,KS,7911,08/30/2020,Other,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/08/2021
2020-2021,,2444405,Central States Conference of SDA Schools,Private,Kansas City,KS,33,08/31/2020,On Premises,No,No,No,No,Required for all staff,Required for all students,Pending,Pending,Pending,Yes,11/17/2020
2020-2021,2007950,893881,Kansas City Kansas Unified Schl Dist 500,Public,Kansas City,KS,23133,09/09/2020,Online Only,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,01/06/2021
2020-2021,2000018,108558306,Kansas State School For The Blind,Public,Kansas City,KS,25,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2010680,893884,Piper Unified School District 203,Public,Kansas City,KS,2303,09/09/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/06/2020
2020-2021,2012360,893883,Turner Unified School District 202,Public,Kansas City,KS,4269,09/08/2020,Hybrid,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/02/2020
2020-2021,2000346,893764,Thunder Ridge Unified School Dist 110,Public,Kensington,KS,200,08/27/2020,Hybrid,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,12/04/2020
2020-2021,2008070,893737,Kingman-Norwich Unified Schl Dist 331,Public,Kingman,KS,1195,08/27/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,2008100,893663,Kinsley-Offerle Unified School Dist 347,Public,Kinsley,KS,315,08/28/2020,On Premises,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,No,12/11/2020
2020-2021,2008130,893738,South Barber Unified School District 255,Public,Kiowa,KS,245,08/19/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,12/23/2020
2020-2021,2008190,893583,Kismet-Plains Unified School Dist 483,Public,Kismet,KS,766,08/26/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,No,Never closed,Yes,10/21/2020
2020-2021,2008220,893664,Lacrosse Unified School District 395,Public,La Crosse,KS,279,09/03/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,01/26/2021
2020-2021,2008250,893909,Prairie View Unified School District 362,Public,Lacygne,KS,965,08/19/2020,Hybrid,Yes,Yes,Yes,Yes,Unknown,Required for all students,Yes,Yes,Closed indefinitely,Yes,01/13/2021
2020-2021,2008280,893577,Lakin Unified School District 215,Public,Lakin,KS,685,08/25/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/16/2020
2020-2021,2008310,893646,Fairfield School District 310,Public,Langdon,KS,318,08/26/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,12/30/2020
2020-2021,2008340,893910,Lansing Unified School District 469,Public,Lansing,KS,3030,09/09/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/18/2020
2020-2021,2008370,893634,Fort Larned Unified School District 495,Public,Larned,KS,912,08/20/2020,Hybrid,Pending,Pending,Pending,Pending,Required for all staff,Required for all students,Pending,Pending,Pending,Unknown,12/28/2020
2020-2021,2008400,893912,Lawrence Unified School District 497,Public,Lawrence,KS,12211,09/10/2020,Hybrid,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,01/14/2021
2020-2021,2008670,893781,Leroy-Gridley Unified School Dist 245,Public,Le Roy,KS,234,08/24/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/07/2020
2020-2021,2008430,893913,Leavenworth Unified School District 453,Public,Leavenworth,KS,3938,09/09/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/11/2021
2020-2021,2008550,893739,Bluestem Unified School District 205,Public,Leon,KS,503,08/26/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Pending,Pending,Pending,Yes,10/26/2020
2020-2021,2008610,893578,Leoti Unified School District 467,Public,Leoti,KS,408,08/20/2020,On Premises,Yes,No,No,Yes,Not required,Not required,Yes,Yes,Never closed,Unknown,10/28/2020
2020-2021,2008700,893635,Lewis Unified School District 502,Public,Lewis,KS,82,08/20/2020,On Premises,No,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,12/07/2020
2020-2021,2008730,893560,Liberal Unified School District 480,Public,Liberal,KS,4295,08/27/2020,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/02/2020
2020-2021,2008790,893670,Lincoln Unified School District 298,Public,Lincoln,KS,350,08/25/2020,On Premises,Yes,Unknown,Yes,Yes,Not required,Not required,Unknown,Yes,Never closed,Yes,12/09/2020
2020-2021,2000002,893671,Smoky Valley Unified School District 400,Public,Lindsborg,KS,915,09/03/2020,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/04/2021
2020-2021,2008880,893672,Little River-Windom Unified Sch Dist 444,Public,Little River,KS,299,08/25/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,12/28/2020
2020-2021,2008910,893624,Logan Unified School District 326,Public,Logan,KS,148,08/27/2020,Hybrid,Yes,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/15/2020
2020-2021,2005760,893712,Elk Valley Unified School District 283,Public,Longton,KS,115,08/31/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Unknown,Closed 1-5 days,Yes,12/02/2020
2020-2021,2008940,893782,Centre Unified School District 397,Public,Lost Springs,KS,200,09/09/2020,Online Only,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,12/18/2020
2020-2021,2008970,893887,Louisburg Unified School District 416,Public,Louisburg,KS,1729,08/18/2020,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/05/2020
2020-2021,2009000,893870,Lyndon Unified School District 421,Public,Lyndon,KS,405,08/20/2020,Hybrid,Yes,Yes,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,08/19/2020
2020-2021,2009030,893637,Lyons Unified School District 405,Public,Lyons,KS,835,08/27/2020,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/18/2020
2020-2021,2009060,893638,Macksville Unified School District 351,Public,Macksville,KS,293,08/20/2020,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,01/26/2021
2020-2021,2009090,893783,Madison-Virgil Unified Schl District 386,Public,Madison,KS,218,08/20/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,12/18/2020
2020-2021,2009140,893740,Maize Unified School District 266,Public,Maize,KS,7481,09/08/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/11/2021
2020-2021,2009180,893845,Manhattan-Ogden Unified School Dist 383,Public,Manhattan,KS,6508,08/26/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,12/28/2020
2020-2021,2000029,893765,Rock Hills Unified School District 107,Public,Mankato,KS,306,08/27/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,10/20/2020
2020-2021,2009240,893784,Marion-Florence Unified School Dist 408,Public,Marion,KS,494,09/09/2020,On Premises,Yes,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/04/2021
2020-2021,2000016,893847,Marysville Unified School District 364,Public,Marysville,KS,823,08/26/2020,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,12/18/2020
2020-2021,2009320,893848,Royal Valley Unified School District 337,Public,Mayetta,KS,793,08/26/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/11/2021
2020-2021,2009360,893888,Mc Louth Unified School District 342,Public,Mc Louth,KS,522,08/27/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/05/2020
2020-2021,2009390,893675,McPherson Unified School District 418,Public,McPherson,KS,2694,09/01/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,11/05/2020
2020-2021,2009420,893580,Meade Unified School District 226,Public,Meade,KS,433,08/20/2020,Hybrid,Yes,No,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/28/2020
2020-2021,2009450,893741,Barber County North Unified Sch Dist 254,Public,Medicine Lodge,KS,500,08/28/2020,On Premises,Yes,Yes,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/11/2020
2020-2021,2009480,893849,Marais Des Cygnes Valley School Dist 456,Public,Melvern,KS,240,08/19/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,01/25/2021
2020-2021,2009510,893850,Jefferson West Unified School Dist 340,Public,Meriden,KS,895,08/27/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/19/2020
2020-2021,2006510,893666,Southern Cloud Unified School Dist 334,Public,Miltonvale,KS,156,08/27/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/21/2021
2020-2021,2009570,893676,North Ottawa Cnty Unified Schl Dist 239,Public,Minneapolis,KS,625,08/27/2020,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/30/2020
2020-2021,2009600,893581,Minneola Unified School District 219,Public,Minneola,KS,260,08/20/2020,On Premises,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,01/26/2021
2020-2021,2009630,893582,Montezuma Unified School District 371,Public,Montezuma,KS,190,08/26/2020,Hybrid,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,12/22/2020
2020-2021,2009660,893823,Marmaton Valley Unified School Dist 256,Public,Moran,KS,301,08/19/2020,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,12/29/2020
2020-2021,2009720,893563,Moscow Unified School District 209,Public,Moscow,KS,190,08/26/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/22/2021
2020-2021,2007750,893889,Jayhawk Unified School District 346,Public,Mound City,KS,580,08/20/2020,Hybrid,Yes,Unknown,Pending,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,10/30/2020
2020-2021,2009780,893742,Moundridge Unified School District 423,Public,Moundridge,KS,387,09/02/2020,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,12/29/2020
2020-2021,2009840,893747,Mulvane Unified School District 263,Public,Mulvane,KS,1935,09/10/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/11/2021
2020-2021,2009850,893626,Paradise Unified School District 399,Public,Natoma,KS,122,09/03/2020,On Premises,Yes,No,No,Yes,Not required,Required for middle/high school students only,Yes,Yes,Never closed,Yes,12/02/2020
2020-2021,2009900,893824,Neodesha Unified School District 461,Public,Neodesha,KS,717,08/18/2020,On Premises,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,12/16/2020
2020-2021,2009930,893639,Ness City Unified School District 303,Public,Ness City,KS,322,08/24/2020,Online Only,Unknown,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,10/23/2020
2020-2021,2009960,893715,Newton Unified School District 373,Public,Newton,KS,3412,09/03/2020,Hybrid,Yes,Yes,Yes,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/20/2020
2020-2021,,47071166,Western District Mennonite Conference,Private,North Newton,KS,,08/26/2020,Hybrid,Unknown,No,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,11/13/2020
2020-2021,2010020,893627,Norton Unified School District 211,Public,Norton,KS,701,08/31/2020,On Premises,Yes,No,Pending,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/16/2020
2020-2021,2010050,893612,Oakley Unified School District 274,Public,Oakley,KS,417,08/19/2020,Hybrid,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Unknown,Yes,10/28/2020
2020-2021,2010080,893613,Oberlin Unified School District 294,Public,Oberlin,KS,340,08/26/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Unknown,Never closed,Yes,12/09/2020
2020-2021,2000019,108558350,Kansas State School For The Deaf,Public,Olathe,KS,113,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,2010140,893892,Olathe Public Schools,Public,Olathe,KS,30588,09/28/2020,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,12/22/2020
2020-2021,2010170,893851,Onaga Unified School District 322,Public,Onaga,KS,303,08/13/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,12/29/2020
2020-2021,2010230,893852,Osage City Unified School District 420,Public,Osage City,KS,697,08/21/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/16/2020
2020-2021,2010260,893893,Osawatomie Unified School District 367,Public,Osawatomie,KS,1180,08/20/2020,On Premises,Yes,Unknown,No,No,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/20/2020
2020-2021,2010290,893677,Osborne County Unified School Dist 392,Public,Osborne,KS,306,08/19/2020,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,01/26/2021
2020-2021,2010320,893894,Oskaloosa Unified School District 341,Public,Oskaloosa,KS,602,08/26/2020,On Premises,Unknown,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,10/13/2020
2020-2021,2010350,893713,Oswego Unified School District 504,Public,Oswego,KS,495,08/26/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/29/2020
2020-2021,2004020,893651,Otis-Bison Unified School District 403,Public,Otis,KS,250,08/25/2020,On Premises,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/07/2020
2020-2021,2000015,893895,Ottawa Unified School District 290,Public,Ottawa,KS,2373,08/26/2020,Hybrid,No,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/15/2021
2020-2021,2012000,893886,Blue Valley Unified School District 229,Public,Overland Park,KS,22845,09/09/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/12/2021
2020-2021,2010440,893717,Oxford Unified School District 358,Public,Oxford,KS,332,09/02/2020,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/11/2020
2020-2021,2010500,893897,Paola Unified School District 368,Public,Paola,KS,1905,08/19/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,01/11/2021
2020-2021,2010560,893714,Parsons Unified School District 503,Public,Parsons,KS,1378,09/08/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,01/07/2021
2020-2021,2010590,893785,Peabody-Burns Unified School Dist 398,Public,Peabody,KS,289,09/09/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/29/2020
2020-2021,2010620,893898,Perry-Lecompton Unified School Dist 343,Public,Perry,KS,817,08/18/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/02/2020
2020-2021,2010650,893629,Phillipsburg Unified School District 325,Public,Phillipsburg,KS,645,08/19/2020,Hybrid,Unknown,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,10/14/2020
2020-2021,2010710,893826,Pittsburg Unified School District 250,Public,Pittsburg,KS,2987,08/27/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,2010740,893630,Plainville Unified School District 270,Public,Plainville,KS,302,08/27/2020,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,12/30/2020
2020-2021,2010770,893871,Pleasanton Unified School District 344,Public,Pleasanton,KS,377,08/26/2020,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,12/29/2020
2020-2021,2010800,893872,West Franklin Unified School Dist 287,Public,Pomona,KS,658,08/26/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/15/2020
2020-2021,2010890,893718,Pratt Unified School District 382,Public,Pratt,KS,1241,08/26/2020,On Premises,Yes,Unknown,No,Unknown,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,01/15/2021
2020-2021,2011430,893719,Skyline Unified School District 438,Public,Pratt,KS,450,09/02/2020,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/29/2020
2020-2021,2010920,893640,Pretty Prairie Unified Schl District 311,Public,Pretty Prairie,KS,283,08/26/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Not required,Unknown,Unknown,Never closed,Yes,01/26/2021
